frame,m68k_cycles,msh2_cycles,ssh2_cycles,m68k_useful,msh2_useful,ssh2_useful,active,fb_crc,scene,state,is_32x
310,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
311,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
312,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
313,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
314,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
315,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
316,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
317,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
318,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
319,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
320,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
321,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
322,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
323,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
324,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
325,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
326,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
327,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
328,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
329,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
330,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
331,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
332,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
333,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
334,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
335,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
336,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
337,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
338,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
339,127989,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0000,1
340,127985,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
341,127987,0,307356,0,0,0,1,0x1F5FCC3B,0x43C6,0x0008,1
342,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0000,1
343,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
344,127987,0,307356,0,0,0,1,0xDED81F0D,0x43C6,0x0008,1
