frame,0xFF7B40,0x2600BC64,0x2600BC68,0x2600BC6C,0x2600BC8C,0x2600BC90,0x2600BC00,0x2600BC0C,0x2600FB64,0x20004020
291,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
292,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
293,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
294,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
295,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
296,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
297,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
298,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
299,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
300,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
301,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
302,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
303,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
304,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
305,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
306,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
307,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
308,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
309,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
310,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
311,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
312,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
313,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
314,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
315,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
316,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
317,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
318,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
319,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
320,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
321,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
322,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
323,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6
